matter_id,file_number,intro_date,agenda_date,passed_date,body,matter_type,status,requester,enactment_number,action_type_ai,clean_title,summary,topic_tags,geography,raw_title,notes,tag_status
47001,202000805,2020-06-19,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0218-2020,emergency ordinance,"Issuance of $7,475,000 in bonds for equipment improvements",Authorizes issuing $7.475 million in bonds to fund equipment improvements for the city.,budget|infrastructure,citywide,"ORDINANCE (EMERGENCY), dated 6/22/2020, submitted by Patrick A. Duhaney, City Manager, PROVIDING FOR THE ISSUANCE OF BONDS OR NOTES IN ANTICIPATION OF SUCH BONDS, BY THE CITY OF CINCINNATI, OHIO IN THE PRINCIPAL AMOUNT OF $7,475,000 FOR THE PURPOSE OF MAKING EQUIPMENT IMPROVEMENTS.",,success
47002,202000848,2020-06-24,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,,0197-2020,emergency ordinance,Amending human services funding priorities percentages for fiscal year 2021,Revises percentages within established human services funding categories for FY 2021 after adding violence prevention organizations.,human services|budget,citywide,"ORDINANCE (EMERGENCY) (VERSION B) submitted by Patrick A. Duhaney, City Manager, on 06/24/2020, AMENDING Ordinance No. 0212-2019, which established the City of CincinnatiÆs human services funding priorities for Fiscal Year 2021 and subsequent Fiscal Years and advised the United Way and any organization assisting the City with evaluating human services funding applications that City CouncilÆs policy for human service funding priorities was established by category and percentage, to allow for revised percentages within established categories for FY 2021 after including additional organizations in the Violence Prevention category",,success
47003,202000849,2020-06-24,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,,0199-2020,emergency ordinance,Early retirement incentive program for city employees,"Authorizes early retirement incentive program for eligible Cincinnati Retirement System members before January 1, 2021.",labor and workforce|budget,citywide,"ORDINANCE (EMERGENCY), dated 6/24/2020, submitted by Patrick A. Duhaney, City Manager, AUTHORIZING an early retirement incentive program to full-time City of Cincinnati employees who are members of the Cincinnati Retirement System and who are not participating in the deferred retirement option program (DROP) or who are not rehired retirees (Retirant), who meet the eligibility criteria set forth below prior to January 1, 2021. (B Version)",,success
47004,202000850,2020-06-24,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0205-2020,emergency ordinance,Transfer $3.25M between capital improvement program project accounts for FY 2021,Authorizes transfer of $3.25 million between capital improvement program accounts to support FY 2021 capital budget.,budget|infrastructure,citywide,"ORDINANCE (EMERGENCY), dated 6/24/2020, submitted by Patrick A. Duhaney, City Manager, AUTHORIZING the transfer and return to source Capital Funds 757, 758, 858, and 864 of the sum of $3,250,000 from various capital improvement program project accounts for the purpose of decreasing certain existing capital improvement program project accounts and providing resources for the FY 2021 Capital Budget, according to Section 1 of the attached Schedule of Transfer; AUTHORIZING the transfer and appropriation of the sum of $3,250,000 from the unappropriated surplus of Capital Funds 757, 758, 858, and 864 to new or existing capital improvement program project accounts for the purpose of providing resources for certain capital improvement program project accounts, according to Section 2 of the attached Schedule of Transfer; and DECLARING certain projects to be for a public purpose, all for the purpose of carrying out the FY 2021 Capital Improvement Program.",,success
47005,202000851,2020-06-24,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0206-2020,ordinance,Setting aside 25% of tax increment financing payments for affordable housing projects,Establishes policy to dedicate 25% of tax increment financing payments for affordable housing within districts.,housing|tax policy|budget,citywide,"ORDINANCE, dated 6/24/2020, submitted by Patrick A. Duhaney, City Manager, ESTABLISHING a City Council policy setting aside 25% of (i) all payments in lieu of taxes currently in accounts at the City and (ii) any future amounts received by the City of Cincinnati after existing obligations are met and paid from tax increment financing incentive districts established pursuant to Section 5709.40(C) of the Ohio Revised Code for affordable housing projects within the districts.",,success
47006,202000836,2020-06-23,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0221-2020,emergency ordinance,Bond issuance for parks and recreation improvements,"Authorizes $2,775,000 in bonds for parks and recreation improvements throughout the city.",parks and recreation|budget,citywide,"ORDINANCE (EMERGENCY), dated 6/23/2020, submitted by Patrick A. Duhaney, City Manager, PROVIDING FOR THE ISSUANCE OF BONDS OR NOTES IN ANTICIPATION OF SUCH BONDS, BY THE CITY OF CINCINNATI, OHIO IN THE PRINCIPAL AMOUNT OF $2,775,000 FOR THE PURPOSE OF MAKING PARKS AND RECREATION IMPROVEMENTS.",,success
47007,202000837,2020-06-23,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,BOARD OF ED COOPERATIVE AFFAIRS SUBCOMMITTEE,0222-2020,emergency ordinance,Accept $1.45M for Smale Riverfront Park Extension construction at The Banks,Accepts $1.45 million from Music and Event Management Inc. for Smale Riverfront Park Extension construction.,parks and recreation|budget,Downtown,"ORDINANCE (EMERGENCY), dated 6/23/2020, submitted by Patrick A. Duhaney, City Manager, AUTHORIZING City Manager to accept and appropriate the sum of $1,450,000 from Music and Event Management Inc., or from one or more affiliates controlled by Music and Event Management, Inc., to capital improvement program project account no. 980x203x202008, Smale Riverfront Park Extension for the purpose of providing resources for construction of the Smale Riverfront Park Extension on Lot 23 of the City Central Riverfront District, commonly known as The Banks; AUTHORIZING the transfer of and return to source Funds 757, 758, 762, and 861 the sum of $4,200,000 from various capital improvement program project accounts to decrease allocations to certain capital improvement program project accounts according to Section 1 of the attached Schedule of Transfer; AUTHORIZING the transfer and appropriation of the sum of $8,275,000 from the unappropriated surplus of Funds 757, 758, 762, 860, and 861 to existing capital improvement program project accounts, according to Section 2 of the attached Schedule of Transfer, all for the purpose of providing resources for the Smale Riverfront Park extension and to certain capital improvement programs pursuant to the attached Schedule of Transfer; and further AUTHORIZING the City Manager to execute a Memorandum of Understanding among the City, the Cincinnati Board of Park Commissioners, and the Cincinnati Parks Foundation.",,success
47008,202000826,2020-06-23,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0223-2020,emergency ordinance,"Accept $100,000 donation from Cincinnati Recreation Foundation for ballfield maintenance","Authorizes accepting up to $100,000 donation from Cincinnati Recreation Foundation for ballfield maintenance.",parks and recreation,citywide,"ORDINANCE (EMERGENCY), dated 6/23/2020, submitted by Patrick A. Duhaney, City Manager, AUTHORIZING the City Manager to accept and appropriate a donation in an amount up to $100,000 from the Cincinnati Recreation Foundation to the Cincinnati Recreation Commission for the purpose of funding ballfield maintenance; and AUTHORIZING the Finance Director to deposit the grant funds in Fund 319, Contributions for Recreation Purposes.",,success
47009,202000806,2020-06-19,2020-06-24,2020-06-24,Cincinnati City Council,Ordinance,Passed Emergency,Budget and Finance Committee,0219-2020,emergency ordinance,"Bond Issuance for Equipment Improvements - $7,475,000",Authorizes issuing $7.475 million in bonds or notes to finance equipment improvements for the city.,budget|infrastructure,citywide,"ORDINANCE (EMERGENCY), dated 6/22/2020, submitted by Patrick A. Duhaney, City Manager, PROVIDING FOR THE ISSUANCE OF BONDS OR NOTES IN ANTICIPATION OF SUCH BONDS, BY THE CITY OF CINCINNATI, OHIO IN THE PRINCIPAL AMOUNT OF $7,475,000 FOR THE PURPOSE OF MAKING EQUIPMENT IMPROVEMENTS.",,success
47010,202000807,2020-06-19,2020-06-24,2020-06-24,"Budget, Finance & Governance Committee",Motion,Historical,,,motion,Report on feasibility of paid leave program for organ and bone marrow donors,Requests administration report on implementing paid leave program for city employees who donate organs or bone marrow.,labor and workforce|health,citywide,"MOTION, dated 06/18/2020, submitted by Councilmember Sittenfeld, WE MOVE that City of Cincinnati Administration provide a report on the feasibility of implementing a City paid-leave program for organ and bone marrow donors. (STATEMENT ATTACHED)",,success
47011,202000750,2020-06-11,2020-06-17,2020-06-17,City Manager,Ordinance,Historical,,,emergency ordinance,FY 2021 Restricted Revenue Funds Budget Appropriation,Appropriates $464.4 million for restricted revenue funds and authorizes transfers between funds for FY 2021.,budget,citywide,"ORDINANCE (EMERGENCY) submitted by Patrick A. Duhaney, City Manager, on 06/17/2020, PROVIDING for the appropriation for the current expenses and other expenditures of the Restricted Revenue Funds of the City of Cincinnati in the total amount of $464,466,110, specifically from the Water Works Fund; the Parking System Facilities Fund; the Convention Center Fund; the General Aviation Fund; the Municipal Golf Fund; the Stormwater Management Fund; the Bond Retirement Fund; the Street Construction, Maintenance and Repair Fund; the Income Tax-Infrastructure Fund; the Parking Meter Fund; the Municipal Motor Vehicle License Tax Fund; the Sawyer Point Fund; the Recreation Special Activities Fund; the Cincinnati Riverfront Park Fund; the Hazard Abatement Fund; the Bond Hill Roselawn Stabilization & Revitalization Operations Fund; the 9-1-1 Cell Phone Fees Fund; the Safe and Clean Fund; the Community Health Center Activities Fund; the Cincinnati Health District Fund; the Cincinnati Area Geographic Information System (CAGIS) Fund; the County Law Enforcement Applied Regionally (CLEAR) Fund; and the Income Tax-Transit Fund for operating requirements, capital outlay, and debt service for the fiscal year beginning July 1, 2020 and ending June 30, 2021; AUTHORIZING the transfer of the sum of $111,970 from the unappropriated surplus of the Street Construction, Maintenance, and Repair Fund to the unappropriated surplus of the Bond Retirement Fund for the purpose of paying the CityÆs FY 2021 General Fund Debt Service obligations related to bonds issued to fund Public Building Improvement Bonds for the purpose of energy improvements in the amount of $80,665 and the Early Retirement Incentive Program in the amount of $31,305; AUTHORIZING the transfer of the sum of $884,220 from the unappropriated surplus of the Income Tax-Infrastructure Fund to the unappropriated surplus of the Bond Retirement Fund for the purpose of paying the CityÆs FY 2021 General Fund Debt Service obligations related to bonds issued to fund Public Building Improvement Bonds in the amount of $690,770 and the Early Retirement Incentive Program in the amount of $193,450; AUTHORIZING the transfer of the sum of $39,620 from the unappropriated surplus of the Motor Vehicle License Tax Fund to the unappropriated surplus of the Bond Retirement Fund for the purpose of paying the CityÆs FY 2021 General Fund Debt Service obligations related to bonds issued to fund Public Building Improvement Bonds in the amount of $3,773 and the Early Retirement Incentive Program in the amount of $35,847; AUTHORIZING the transfer of the sum of $20,000 from the unappropriated surplus of the County Law Enforcement Applied Regionally (CLEAR) Fund to the unappropriated surplus of the Bond Retirement Fund for the purpose of paying the CityÆs FY 2021 General Fund Debt Service obligations related to bonds issued to fund the Early Retirement Incentive Program; and AUTHORIZING the transfer of the sum of $50,000 from the unappropriated surplus of the Parking System Facilities Fund to reserve account 102x3441 ""U-Square Garage û Reserve for Capital Projects,"" the transfer of the sum of $20,000 from the unappropriated surplus of the Parking System Facilities Fund to reserve account 102x3442 ""VP3 Garage û Reserve for Capital Projects,"" and the transfer of the sum of $20,000 from the unappropriated surplus of the Parking System Facilities Fund to reserve account 102x3443 ""Hampton Inn Garage û Reserve for Capital Projects"" for the purpose of making contractually obligated payments for repairs for each identified garage.",,success
